Date,PCE,CPI,GDP,UR,FEDR,male_ur,female_ur,black_ur,hisp_ur,ur_1624,ur_2024,ur_2554,ur_cg_2534,covid_dummy
2025-08-31,5.6,2.9,3.8,4.3,4.33,4.4,4.2,7.5,5.3,10.5,9.2,3.6,3.6,0
2025-07-31,5.2,2.7,3.8,4.2,4.33,4.4,4.1,7.2,5.0,10.0,7.9,3.6,3.8,0
2025-06-30,5.2,2.7,3.8,4.1,4.33,4.3,3.9,6.8,4.8,10.0,8.2,3.3,3.4,0
2025-05-31,5.0,2.4,-0.6,4.2,4.33,4.3,4.2,6.0,5.1,9.7,8.2,3.6,3.2,0
2025-04-30,5.5,2.3,-0.6,4.2,4.33,4.4,4.0,6.3,5.2,9.6,8.2,3.5,3.3,0
2025-03-31,5.6,2.4,-0.6,4.2,4.33,4.2,4.1,6.2,5.1,9.4,7.5,3.5,3.3,0
2025-02-28,5.5,2.8,1.9,4.1,4.33,4.2,4.1,6.0,5.2,9.7,8.3,3.5,3.6,0
2025-01-31,6.0,3.0,1.9,4.0,4.33,4.0,4.0,6.2,4.8,9.0,7.9,3.4,2.6,0
2024-12-31,6.4,2.9,1.9,4.1,4.48,4.1,4.1,6.1,5.1,9.0,7.5,3.5,2.6,0
2024-11-30,5.9,2.7,3.3,4.2,4.64,4.3,4.2,6.4,5.3,9.4,7.8,3.7,3.2,0
2024-10-31,5.8,2.6,3.3,4.1,4.83,4.2,4.0,5.7,5.1,9.5,7.8,3.5,3.1,0
2024-09-30,5.8,2.4,3.3,4.1,5.13,4.2,3.9,5.7,5.1,9.2,7.0,3.4,2.8,0
2024-08-31,5.5,2.5,3.6,4.2,5.33,4.3,4.1,6.1,5.4,9.7,7.9,3.6,4.0,0
2024-07-31,5.6,2.9,3.6,4.2,5.33,4.3,4.1,6.3,5.3,9.1,7.7,3.6,4.2,0
2024-06-30,5.7,3.0,3.6,4.1,5.33,4.1,4.0,6.3,4.9,8.9,7.5,3.5,3.7,0
2024-05-31,5.9,3.3,0.8,4.0,5.33,4.2,3.7,6.1,5.0,9.3,7.9,3.3,2.5,0
2024-04-30,5.5,3.4,0.8,3.9,5.33,3.9,3.8,5.6,4.8,8.3,6.7,3.2,2.0,0
2024-03-31,5.7,3.5,0.8,3.9,5.33,3.8,3.9,6.4,4.5,8.8,7.1,3.2,2.9,0
